ownerName,name,_id,Address,city,state,capacity,Registration Date,Registration Valid Upto,phoneNo,Status,
Maharashtra State Warehousing Corporation,MSWC Wai,4211654,"Plot no-B 50, Near Garware Company ,MIDC Wai",Satara,MAHARASHTRA,7600,11-Dec-19,10-Dec-24,9860345007,Active,
Maharashtra State Warehousing Corporation,"MSWC B-23 Aurangabad, MIDC",6757264,"MSWC, B23 MIDC Area, Railway Station Road, Aurangabad",Aurangabad,MAHARASHTRA,5540,14-Jul-23,13-Jul-28,8983022545,Active,
Maharashtra State Warehousing Corporation,Phaltan,6586986,"At Tambmal, Lonand - Phaltan Road, Post Farandwadi, Tal. Phalan",Satara,MAHARASHTRA,8920,30-May-22,29-May-27,8830845445,Active,
Maharashtra State Warehousing Corporation,LOHARA (Y),6579247,"MIDC Area, Lohara,",Yavatmal,MAHARASHTRA,16364,26-May-22,25-May-27,9665234365,Active,
Maharashtra State Warehousing Corporation,"MAHARASHTRA STATE WAREHOUSING CORPORATION, PARANDA",6757538,"APMC MARKETYARD, PARANDA",Osmanabad,MAHARASHTRA,3420,17-Jul-23,16-Jul-28,7620211011,Active,
Maharashtra State Warehousing Corporation,MSWC RATNAGIRI,6578348,"T-6 MIDC ,MIRJOLE BLOCK,, TAL & DIST. RATNAGIRI",Ratnagiri,MAHARASHTRA,14260,24-May-22,23-May-27,8097537118,Active,
Maharashtra State Warehousing Corporation,AKKALKOT,6593552,"Akkalkot, Akkalkot",Solapur,MAHARASHTRA,7704,13-Jun-22,12-Jun-27,9175989021,Active,
Maharashtra State Warehousing Corporation,SHAHADA,6581672,"BEHIND STATE BANK, MARKET YARD",Nandurbar,MAHARASHTRA,5100,28-May-22,27-May-27,8408882562,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Tiosa",6720452,"APMC Market Year, Satargaon Road, Tiosa,",Amravati,MAHARASHTRA,2780,26-May-23,25-May-28,8805017485,Active,
Maharashtra State Warehousing Corporation,MSWC Mirajgaon,6757082,"APMC Marketyard, Near Water Tank",Ahmadnagar,MAHARASHTRA,3000,14-Jul-23,13-Jul-28,9763474246,Active,
Maharashtra State Warehousing Corporation,Lote Parshuram,6769053,"M.I.D.C Area lote (P) P.29,",Ratnagiri,MAHARASHTRA,5830,31-Jul-23,30-Jul-28,8097537118,Active,
Maharashtra State Warehousing Corporation,MSWC Vaijapur,6746556,"MSWC, Opp power house,, Aurangabad Rd, Vaijapur",Aurangabad,MAHARASHTRA,6320,27-Jun-23,26-Jun-28,9860820981,Active,
Maharashtra State Warehousing Corporation,"MAHARASHTRA STATE WAREHOUSING CORPORATION, AUSA",6746911,"PLOT NO.B-11 MIDCI AUSA, AUSA",Latur,MAHARASHTRA,5400,27-Jun-23,26-Jun-28,9579866338,Active,
Maharashtra State Warehousing Corporation,"MAHARASHTRA STATE WAREHOUSING CORPORATION, PARBHANI-CITY",6589501,"Behind Zilha Parishad Parbhani, Near DSM Collage, PARBHANI",Parbhani,MAHARASHTRA,6000,01-Jun-22,31-May-27,9545011693,Active,
Maharashtra State Warehousing Corporation,AMALANER,6589865,"APMC MARKET /Takarkheda Road, AMALNER",Jalgaon,MAHARASHTRA,13990,01-Jun-22,31-May-27,8408882562,Active,
Maharashtra State Warehousing Corporation,Taloja (General),6584551,"Maharashtra State Warehousing Corporation, Plot No. L-4, MIDC Area,, IGPL Road, Taloja",Raigarh,MAHARASHTRA,18600,30-May-22,29-May-27,9029023752,Active,
Maharashtra State Warehousing Corporation,"UDGIRMSWC,A1MIDC Area, Loni,Nanded Road,Udgir",6630818,"MSWC,A1MIDC Area, Loni,Nanded Road,Udgir, UDGIR",Latur,MAHARASHTRA,12300,19-Sep-22,18-Sep-27,9970640322,Active,
Maharashtra State Warehousing Corporation,"MAHARASHTRA STATE WAREHOUSING CORPORATION, RENAPUR",6613806,"APMC MARKET YARD, RENAPUR",Latur,MAHARASHTRA,4200,10-Aug-22,09-Aug-27,8390033220,Active,
Maharashtra State Warehousing Corporation,Maharashtra State Warehousing Corporation Amgaon,6575732,"Pondhwana Road Kumbhartoli, Amgaon",Gondiya,MAHARASHTRA,8600,19-May-22,18-May-27,9561639170,Active,
Maharashtra State Warehousing Corporation,KASODA,6598593,"APMC MARKET YARD, KASODA",Jalgaon,MAHARASHTRA,2000,30-Jun-22,29-Jun-27,8408882562,Active,
Maharashtra State Warehousing Corporation,MSWC Vashi,6598957,"Maharashtra State Warehousing Corporation, Sector 18, Plot No. 37,, APMC, Market Yard, Vashi",Thane,MAHARASHTRA,3300,01-Jul-22,30-Jun-27,9158001325,Active,
Maharashtra State Warehousing Corporation,MSWC Gultekdi A,6614341,"583/B Marketyard ,Gultekadi Pune 411 037,",Pune,MAHARASHTRA,5400,12-Aug-22,11-Aug-27,8329791797,Active,
Maharashtra State Warehousing Corporation,Panvel Cold Storage,6590046,"Maharashtra State Warehousing Corporation, Plot No. 463,, Raigad Bazar, APMC Market Yard, Panvel",Raigarh,MAHARASHTRA,5000,01-Jun-22,31-May-27,8149199753,Active,
